,size,material,color,sleeves,demand
0,S,nylon,white,long,medium
1,XL,polyester,cream,short,high
2,S,silk,blue,short,medium
3,M,cotton,black,short,medium
4,XL,polyester,orange,long,medium
5,XS,polyester,black,short,medium
6,XXL,polyester,green,short,medium
7,L,linen,yellow,short,high
8,XL,linen,cream,long,high
9,XS,nylon,red,short,high
10,XXL,linen,white,short,medium
11,L,linen,yellow,short,high
12,L,cotton,blue,long,medium
13,3XL,cotton,violet,short,medium
14,L,cotton,blue,short,high
15,M,linen,navy,long,high
16,XL,linen,white,short,medium
17,XXL,polyester,violet,long,low
18,L,cotton,green,short,high
19,XXL,polyester,blue,short,high
20,S,silk,navy,short,medium
21,L,nylon,orange,long,medium
22,S,nylon,cream,long,high
23,M,linen,red,short,high
24,L,cotton,orange,short,high
25,XXL,linen,red,short,high
26,S,cotton,green,short,high
27,XL,linen,violet,short,high
28,XL,silk,cream,short,low
29,3XL,linen,cream,long,medium
30,M,nylon,orange,long,medium
31,L,linen,yellow,long,high
32,S,nylon,cream,short,high
33,S,nylon,cream,short,high
34,L,silk,white,short,low
35,M,nylon,navy,short,high
36,XL,nylon,green,long,medium
37,XXL,linen,white,long,medium
38,M,linen,red,long,high
39,S,polyester,cream,long,high
40,XXL,cotton,green,long,low
41,M,polyester,blue,long,medium
42,L,nylon,orange,short,high
43,XXL,nylon,navy,short,high
44,L,cotton,white,short,high
45,M,polyester,black,long,medium
46,L,nylon,white,long,high
47,XL,cotton,orange,short,high
48,S,silk,black,short,low
49,M,polyester,violet,short,high
50,L,polyester,cream,short,high
51,XS,linen,violet,short,high
52,XL,nylon,yellow,short,high
53,XXL,cotton,navy,short,high
54,3XL,nylon,red,short,high
55,L,cotton,cream,long,medium
56,L,nylon,white,long,high
57,XL,cotton,blue,short,high
58,S,polyester,black,short,medium
59,S,nylon,navy,short,high
60,XL,cotton,blue,long,medium
61,M,nylon,green,short,high
62,L,cotton,cream,long,medium
63,S,nylon,yellow,long,high
64,3XL,cotton,red,long,low
65,L,linen,white,long,high
66,L,polyester,black,short,medium
67,XXL,cotton,white,short,medium
68,XL,polyester,green,short,high
69,XL,nylon,green,long,medium
70,XS,linen,orange,long,high
71,XXL,nylon,white,short,low
72,XXL,polyester,red,long,medium
73,M,polyester,white,long,medium
74,3XL,linen,white,short,low
75,L,polyester,blue,short,high
76,XL,nylon,navy,short,high
77,L,cotton,black,long,medium
78,XXL,cotton,black,short,medium
79,M,nylon,white,short,medium
80,S,cotton,yellow,short,high
81,3XL,nylon,black,short,medium
82,M,polyester,navy,short,high
83,M,nylon,white,short,medium
84,3XL,nylon,yellow,long,low
85,S,nylon,red,long,high
86,M,cotton,white,long,high
87,M,linen,navy,long,high
88,3XL,cotton,white,short,medium
89,XXL,cotton,black,long,medium
90,XXL,nylon,white,long,low
91,XXL,polyester,cream,short,high
92,XL,polyester,navy,short,high
93,XXL,nylon,navy,long,medium
94,M,nylon,cream,long,medium
95,L,polyester,red,short,high
96,XXL,cotton,black,short,medium
97,L,cotton,black,long,medium
98,L,linen,navy,long,high
99,XXL,polyester,black,long,medium
100,S,polyester,navy,short,high
101,3XL,polyester,navy,long,medium
102,M,nylon,blue,short,high
103,L,polyester,blue,short,high
104,3XL,linen,yellow,long,medium
105,XL,cotton,white,short,medium
106,M,polyester,red,short,high
107,M,linen,violet,long,medium
108,L,cotton,black,long,medium
109,3XL,nylon,navy,long,medium
110,S,polyester,green,short,high
111,3XL,cotton,yellow,long,low
112,XXL,polyester,navy,long,medium
113,S,polyester,navy,short,high
114,L,cotton,red,short,high
115,L,nylon,red,short,high
116,3XL,linen,blue,short,high
117,L,linen,white,short,high
118,3XL,cotton,cream,long,low
119,XL,nylon,black,short,medium
120,XL,silk,white,long,low
121,XXL,nylon,red,long,medium
122,M,polyester,navy,long,medium
123,3XL,polyester,cream,short,high
124,M,polyester,navy,short,high
125,S,polyester,white,short,medium
126,S,polyester,white,short,medium
127,L,cotton,white,long,high
128,XL,cotton,white,long,medium
129,XS,polyester,violet,short,high
130,M,nylon,white,long,medium
131,M,polyester,cream,short,high
132,3XL,nylon,blue,long,low
133,M,linen,navy,long,high
134,XS,polyester,red,long,high
135,XXL,nylon,green,short,medium
136,L,polyester,black,short,medium
137,S,polyester,red,long,high
138,M,cotton,yellow,long,low
139,XXL,polyester,white,short,low
140,XL,cotton,blue,long,medium
141,M,linen,navy,long,high
142,M,polyester,black,short,medium
143,3XL,silk,red,long,low
144,S,nylon,black,short,medium
145,L,linen,navy,long,high
146,M,polyester,red,short,high
147,S,cotton,blue,long,high
148,3XL,polyester,blue,short,high
149,XL,linen,violet,short,high
150,S,nylon,red,long,high
151,XXL,cotton,cream,long,medium
152,3XL,nylon,black,long,medium
153,L,polyester,cream,long,medium
154,XXL,polyester,black,long,medium
155,M,linen,yellow,long,medium
156,3XL,polyester,yellow,short,medium
157,XL,linen,black,short,medium
158,L,cotton,navy,long,medium
159,XXL,nylon,black,long,medium
160,M,nylon,white,short,medium
161,XS,linen,white,short,high
162,XL,silk,green,short,low
163,XXL,nylon,yellow,long,low
164,L,linen,green,long,medium
165,M,silk,red,short,low
166,L,polyester,black,long,medium
167,XXL,linen,blue,short,high
168,XS,cotton,white,short,high
169,L,nylon,green,long,medium
170,S,polyester,orange,short,high
171,L,cotton,black,long,medium
172,L,nylon,green,short,high
173,XS,polyester,white,long,medium
174,L,cotton,yellow,long,medium
175,XL,linen,cream,long,high
176,XXL,polyester,violet,short,high
177,XS,linen,cream,short,high
178,3XL,polyester,blue,long,low
179,S,cotton,black,short,medium
180,3XL,cotton,navy,long,low
181,M,cotton,blue,short,high
182,L,cotton,orange,long,medium
183,S,cotton,white,long,high
184,L,nylon,cream,long,medium
185,XXL,polyester,white,long,low
186,M,nylon,red,short,high
187,XL,linen,yellow,long,medium
188,L,cotton,yellow,short,high
189,M,linen,white,long,high
190,XXL,cotton,green,short,medium
191,M,nylon,yellow,short,high
192,XL,polyester,navy,long,medium
193,XL,silk,black,long,low
194,L,nylon,cream,short,high
195,XS,nylon,blue,short,high
196,3XL,nylon,violet,short,medium
197,M,cotton,red,short,high
198,3XL,polyester,violet,long,low
