,size,material,color,sleeves,demand
0,L,cotton,green,long,medium
1,M,cotton,cream,short,high
2,XL,silk,red,short,low
3,M,nylon,red,short,high
4,L,linen,red,long,high
5,XXL,cotton,navy,long,medium
6,L,polyester,cream,long,medium
7,XXL,polyester,white,short,low
8,M,cotton,cream,short,high
9,XXL,polyester,red,long,medium
10,S,cotton,red,long,high
11,XL,linen,navy,short,high
12,M,cotton,green,long,low
13,L,cotton,red,short,high
14,3XL,silk,black,short,low
15,XL,polyester,black,long,medium
16,S,cotton,white,short,high
17,M,cotton,cream,short,high
18,S,silk,yellow,long,medium
19,XS,cotton,navy,short,high
20,L,nylon,red,long,medium
21,L,polyester,red,long,medium
22,M,cotton,blue,long,medium
23,M,polyester,white,short,medium
24,L,silk,orange,short,low
25,XXL,nylon,red,long,medium
26,L,nylon,navy,short,high
27,XXL,nylon,white,short,low
28,XS,polyester,white,short,medium
29,S,polyester,white,short,medium
30,XL,nylon,red,short,high
31,XXL,linen,black,short,medium
32,S,silk,white,long,low
33,3XL,nylon,cream,short,high
34,M,nylon,white,short,medium
35,XXL,polyester,blue,long,medium
36,M,linen,violet,short,high
37,XL,polyester,orange,long,medium
38,XXL,nylon,cream,short,high
39,3XL,polyester,cream,long,medium
40,M,polyester,red,short,high
41,XL,cotton,violet,long,medium
42,M,nylon,white,short,medium
43,L,nylon,black,short,high
44,XL,polyester,white,short,low
45,S,polyester,yellow,short,high
46,XXL,polyester,white,short,low
47,XXL,cotton,white,long,medium
48,S,cotton,navy,long,high
49,L,linen,black,short,medium
50,L,polyester,red,long,medium
51,M,polyester,green,short,high
52,L,polyester,cream,short,high
53,XS,polyester,red,short,high
54,XS,nylon,red,short,high
55,XXL,silk,navy,short,low
56,M,polyester,navy,long,medium
57,M,polyester,navy,short,high
58,M,silk,white,short,low
59,S,silk,white,long,low
60,S,polyester,cream,short,high
61,L,silk,black,long,medium
62,XS,cotton,yellow,short,high
63,S,polyester,white,long,medium
64,XS,cotton,violet,short,high
65,L,cotton,red,long,medium
66,3XL,polyester,navy,long,medium
67,S,polyester,red,long,high
68,L,cotton,yellow,long,medium
69,XS,silk,white,short,low
70,3XL,nylon,yellow,short,medium
71,S,polyester,black,long,medium
72,L,nylon,black,short,high
73,M,silk,white,long,medium
74,S,polyester,blue,long,high
75,XL,nylon,green,long,medium
76,S,polyester,navy,long,high
77,XL,silk,blue,short,low
78,M,cotton,navy,short,high
79,XL,nylon,black,long,medium
80,XL,polyester,yellow,long,medium
81,L,nylon,navy,long,medium
82,3XL,cotton,navy,long,low
83,3XL,cotton,black,long,medium
84,S,linen,black,short,medium
85,XS,cotton,black,short,medium
86,XS,linen,cream,short,high
87,3XL,cotton,white,short,medium
88,XL,polyester,cream,short,high
89,S,nylon,white,long,medium
90,M,polyester,blue,short,high
91,XXL,nylon,black,short,medium
92,S,polyester,black,short,medium
93,M,linen,white,long,high
94,M,silk,blue,short,low
95,M,cotton,navy,short,high
96,L,cotton,black,long,medium
97,L,linen,white,long,high
98,L,polyester,blue,long,medium
99,L,cotton,white,short,high
100,XXL,nylon,white,short,low
101,M,linen,orange,short,high
102,L,polyester,navy,long,medium
103,XL,nylon,navy,short,high
104,S,linen,black,short,medium
105,XL,linen,black,long,medium
106,XS,nylon,black,long,medium
107,XL,cotton,yellow,long,medium
108,XXL,polyester,green,short,high
109,M,cotton,yellow,long,medium
110,M,cotton,violet,short,high
111,S,linen,yellow,short,high
112,3XL,polyester,yellow,long,low
113,M,linen,violet,short,high
114,XL,nylon,red,short,high
115,XXL,nylon,black,long,medium
116,XXL,nylon,red,long,medium
117,XXL,silk,white,short,low
118,XS,nylon,navy,long,high
119,M,linen,white,short,high
120,XS,silk,black,short,low
121,XL,polyester,white,short,low
122,L,polyester,blue,long,medium
123,XL,polyester,red,long,medium
124,M,cotton,cream,long,medium
125,L,cotton,blue,short,high
126,M,nylon,white,long,medium
127,XS,nylon,white,short,medium
128,XXL,nylon,navy,short,high
129,L,polyester,red,short,high
130,XL,nylon,white,short,low
131,S,nylon,white,long,medium
132,M,cotton,red,long,medium
133,S,polyester,white,long,medium
134,XL,nylon,blue,short,high
135,XL,cotton,yellow,short,high
136,XS,polyester,red,short,high
137,L,polyester,red,long,medium
138,L,polyester,red,short,high
139,3XL,cotton,violet,long,low
140,L,linen,blue,short,high
141,XL,polyester,white,long,low
142,M,polyester,cream,long,medium
143,M,nylon,white,long,medium
144,S,silk,red,short,medium
145,S,cotton,white,short,high
146,S,polyester,green,short,high
147,XL,polyester,yellow,long,medium
148,XL,polyester,navy,short,high
149,XL,cotton,cream,short,high
150,XL,nylon,black,long,medium
151,M,silk,red,long,low
152,M,nylon,green,short,high
153,XXL,cotton,black,short,medium
154,L,polyester,black,short,high
155,XL,nylon,orange,long,medium
156,S,cotton,black,long,medium
157,3XL,nylon,navy,short,high
158,L,cotton,orange,long,medium
159,S,linen,red,long,high
160,XS,nylon,cream,short,high
161,XXL,nylon,yellow,short,high
162,M,linen,yellow,short,high
163,XL,cotton,green,long,low
164,L,linen,violet,long,high
165,XL,linen,green,long,medium
166,L,silk,orange,short,low
167,M,nylon,white,long,medium
168,XXL,polyester,blue,long,medium
169,L,cotton,black,long,medium
170,L,polyester,navy,long,medium
171,XL,cotton,cream,short,high
172,L,polyester,white,short,high
173,M,linen,green,short,high
174,L,cotton,red,long,medium
175,XL,polyester,navy,short,high
176,S,linen,black,long,medium
177,M,silk,white,long,medium
178,L,nylon,green,long,medium
179,3XL,cotton,black,short,medium
180,L,nylon,yellow,short,high
181,L,cotton,cream,short,high
182,XS,polyester,blue,short,high
183,3XL,linen,navy,long,medium
184,M,polyester,yellow,long,medium
185,L,nylon,navy,short,high
186,M,nylon,green,long,medium
187,XL,cotton,navy,short,high
188,XL,linen,yellow,long,medium
189,M,linen,navy,long,high
190,M,linen,black,long,medium
191,M,cotton,black,long,medium
192,3XL,cotton,red,short,medium
193,XL,polyester,orange,short,high
194,S,nylon,green,long,high
195,L,polyester,blue,short,high
196,XL,polyester,navy,short,high
197,XL,nylon,white,long,low
198,L,cotton,navy,short,high
199,XL,nylon,white,long,low
200,M,polyester,white,short,medium
201,XS,nylon,black,long,medium
202,XXL,cotton,blue,short,high
203,XL,polyester,red,short,high
204,S,linen,black,short,medium
205,L,cotton,black,short,medium
206,L,linen,blue,short,high
207,XL,linen,red,short,high
208,3XL,nylon,black,long,medium
209,L,cotton,blue,long,medium
210,L,cotton,red,short,high
211,XL,polyester,cream,short,high
212,XL,cotton,white,short,medium
213,XXL,linen,white,long,medium
214,XL,nylon,red,long,medium
215,XXL,nylon,violet,short,high
216,L,polyester,navy,short,high
217,XXL,linen,navy,long,high
218,XL,linen,yellow,short,high
219,L,polyester,green,long,medium
220,XXL,linen,navy,long,high
221,L,polyester,black,short,high
222,M,nylon,yellow,short,high
223,L,silk,cream,long,low
224,XXL,nylon,orange,long,medium
225,XL,nylon,black,short,medium
226,XL,linen,red,long,high
227,3XL,linen,black,short,low
228,XS,polyester,green,short,high
229,3XL,silk,white,short,low
230,3XL,cotton,violet,long,low
231,XXL,linen,white,short,medium
232,3XL,nylon,black,short,medium
233,XXL,linen,yellow,short,high
234,M,cotton,red,short,high
235,XXL,linen,black,short,medium
236,XL,nylon,cream,short,high
237,S,nylon,yellow,long,high
238,L,nylon,red,long,medium
239,XS,silk,navy,short,medium
240,XXL,nylon,orange,short,high
241,L,cotton,blue,short,high
242,XS,cotton,violet,short,high
243,XL,cotton,red,short,high
244,XS,polyester,black,short,medium
245,XXL,nylon,white,short,low
246,XL,linen,cream,short,high
247,XL,cotton,black,short,medium
248,L,nylon,black,long,high
249,XXL,cotton,cream,long,medium
250,XS,nylon,cream,short,high
251,XXL,linen,green,long,medium
252,S,polyester,yellow,short,high
253,XL,polyester,navy,long,medium
254,L,polyester,red,short,high
255,XXL,cotton,black,long,medium
256,XL,polyester,black,long,medium
257,3XL,linen,white,short,medium
258,XXL,linen,orange,short,high
259,XXL,cotton,blue,long,medium
260,XS,cotton,yellow,long,medium
261,L,nylon,blue,short,high
262,S,linen,black,short,medium
263,XL,linen,black,short,medium
264,XXL,polyester,blue,short,high
265,M,silk,cream,short,low
266,3XL,nylon,cream,long,medium
267,L,cotton,green,short,high
268,XL,polyester,blue,short,high
269,M,nylon,cream,long,medium
270,L,linen,white,long,high
